板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,北京世纪瑞尔技术股份有限公司,"Beijing Century Real Technology Co.,Ltd.",北京市海淀区创业路8号3号楼6层3-9,300150,世纪瑞尔,2010-12-22,"585,106,053","514,733,937",,,,0,0,华北,北京,北京市,I 信息技术,www.c-real.com.cn
创业板,深圳市昌红科技股份有限公司,"SHENZHEN CHANGHONG TECHNOLOGY Co.,Ltd.",广东省深圳市坪山区碧岭街道沙湖社区锦龙大道3号昌红科技公司1层至3层,300151,昌红科技,2010-12-22,"502,507,912","325,473,305",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-changhong.com
创业板,雄安新动力科技股份有限公司,"Xiong""an New Power Technology Co.,Ltd.",中国(河北)自由贸易试验区雄安片区保定市雄安市民服务中心企业办公区A栋西区,300152,新动力,2010-12-29,"712,800,000","712,408,100",,,,0,0,华北,河北,保定市,N 公共环保,www.kre.cn
创业板,上海科泰电源股份有限公司,"SHANGHAI COOLTECH POWER CO.,LTD.",上海市青浦区天辰路1633号,300153,科泰电源,2010-12-29,"320,000,000","318,030,118",,,,0,0,华东,上海,上海市,C 制造业,www.cooltechsh.com
创业板,深圳市瑞凌实业集团股份有限公司,"SHENZHEN RILAND INDUSTRY GROUP CO.,LTD.",广东省深圳市宝安区新安街道兴东社区67区隆昌路8号飞扬科技创新园B栋501(4-5楼),300154,瑞凌股份,2010-12-29,"455,296,000","318,676,050",,,,0,0,华南,广东,深圳市,C 制造业,www.riland.com.cn
创业板,广东安居宝数码科技股份有限公司,"GUANGDONG ANJUBAO DIGITAL TECHNOLOGY CO.,LTD.",广东省广州高新技术产业开发区科学城起云路6号自编一栋,300155,安居宝,2011-01-07,"561,227,744","330,377,435",,,,0,0,华南,广东,广州市,C 制造业,www.anjubao.com
创业板,恒泰艾普集团股份有限公司,"LandOcean Energy Services Co., LTD.",北京市海淀区丰秀中路3号院4号楼401室,300157,恒泰艾普,2011-01-07,"712,113,257","697,735,082",,,,0,0,华北,北京,北京市,B 采矿业,www.ldocean.com.cn
创业板,山西振东制药股份有限公司,"Shanxi Zhendong Pharmaceutical Co.,Ltd",山西省长治市上党区光明南路振东科技园,300158,振东制药,2011-01-07,"1,027,494,660","1,024,133,250",,,,0,0,华北,山西,长治市,C 制造业,www.zdjt.com
创业板,新疆机械研究院股份有限公司,"Xinjiang Machinery Research Institute Co.,Ltd",新疆维吾尔自治区乌鲁木齐经济技术开发区融合南路661号,300159,ST新研,2011-01-07,"1,490,360,202","1,490,360,202",,,,0,0,西北,新疆,乌鲁木齐市,C 制造业,www.xjjxy.com.cn
创业板,江苏秀强玻璃工艺股份有限公司,"JIANGSU XIUQIANG GLASSWORK CO., LTD.",江苏省宿迁市宿豫区江山大道28号,300160,秀强股份,2011-01-13,"772,946,292","607,537,442",,,,0,0,华东,江苏,宿迁市,C 制造业,www.jsxq.com
