A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600329,-,达仁堂,达仁堂,TIANJIN PHARMACEUTICAL DA REN TANG GROUP CORPORATION LIMITED,20010606
600330,-,天通股份,天通股份,"TDG Holding Co.,Ltd",20010118
600331,-,宏达股份,宏达股份,"Sichuan Hongda Co.,Ltd",20011220
600332,-,白云山,白云山,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,20010206
600333,-,长春燃气,长春燃气,"Changchun Gas Co.,Ltd",20001211
600335,-,国机汽车,国机汽车,"Sinomach Automobile Co., Ltd.",20010305
600336,-,澳柯玛,澳柯玛,"AUCMA Co., Ltd.",20001229
600337,-,美克家居,美克家居,"Markor International Home Furnishings Co., Ltd.",20001127
600338,-,西藏珠峰,西藏珠峰,"Tibet Summit Resources Co., Ltd.",20001227
600339,-,中油工程,中油工程,"China Petroleum Engineering Co., Ltd.",20001225
600340,-,华夏幸福,华夏幸福,"China Fortune Land Development Co.,Ltd.",20031230
600343,-,航天动力,航天动力,"Shaanxi Aerospace Power Hi-Tech Co.,Ltd",20030408
600345,-,长江通信,长江通信,"Wuhan Yangtze Communication Industry Group Co.,Ltd",20001222
600346,-,恒力石化,恒力石化,"Hengli Petrochemical Co.,Ltd.",20010820
600348,-,华阳股份,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",20030821
600350,-,山东高速,山东高速,Shandong Hi-Speed Company Limited,20020318
600351,-,亚宝药业,亚宝药业,"Yabao Pharmaceutical Group Co.,Ltd",20020926
600352,-,浙江龙盛,浙江龙盛,"Zhejiang Longsheng Group Co.,Ltd",20030801
600353,-,旭光电子,旭光电子,"Chengdu Xuguang Electronics Co.,Ltd.",20021120
600354,-,敦煌种业,敦煌种业,"Gansu Dunhuang Seed Group Co.,Ltd.",20040115
600355,-,精伦电子,精伦电子,"Routon Electronic Co.,Ltd.",20020613
600356,-,恒丰纸业,恒丰纸业,"Mudanjiang Hengfeng Paper Co.,Ltd",20010419
600358,-,国旅联合,国旅联合,"CHINA TOURISM AND CULTURE INVESTMENT GROUP CO.,LTD",20000922
600359,-,新农开发,新农开发,"Xinjiang Talimu Agriculture Development Co.,Ltd.",19990429
600360,-,华微电子,华微电子,"Jilin Sino-Microelectronics Co.,Ltd.",20010316
600361,-,创新新材,创新新材,"INNOVATION NEW MATERIAL TECHNOLOGY CO., LTD.",20011129
600362,-,江西铜业,江西铜业,Jiangxi Copper Company Limited,20020111
600363,-,联创光电,联创光电,"Jiangxi Lianchuang Opto-Electronic Science&Technology Co.,Ltd",20010329
600365,-,ST通葡,ST通葡,"Tonghua Grape Wine Co.,Ltd",20010115
600366,-,宁波韵升,宁波韵升,"Ningbo Yunsheng Co.,Ltd.",20001030
600367,-,红星发展,红星发展,"Guizhou Redstar Developing Co.,Ltd.",20010320
600368,-,五洲交通,五洲交通,"Guangxi Wuzhou Communications Co.,Ltd.",20001221
